Marca temporal,P01. Nivel Académico,P02. Área de Enfoque,P03. Habilidad Manual (Sin IA),P04. Conocimiento Teórico LLM,P05. Frecuencia de Uso,P06. Herramientas Activas,P07. Tipo de Tareas,P08. Dependencia Cognitiva,P09. Método de Validación,P10. Tiempo Ahorrado,P11. Ética en Evaluación,P12. Precisión del Código,P13. Limitaciones Percibidas,P14. Nivel de Prompting,P15. Impacto Aprendizaje,P16. Miedo al Reemplazo,P17. Uso Transversal,P18. Política Institucional,P19. Dependencia Operativa,P20. Habilidad Futura
18/01/2026 20:31:01,Estudiante (1°-3°),"Cloud / DevOps, Gestión TI",2,Básico (Prompts/Tokens),Frecuentemente (Diario),"ChatGPT Gratuito, ChatGPT Plus (GPT-4), GitHub Copilot/Cursor, Claude, Gemini","Debugging (Explicar errores), Documentación, Datos de Prueba, Traducción de Lenguaje",3,Analizo lógica antes de usar,> 50% (Doble velocidad),Sí (Es una herramienta),4,Alucinaciones/Errores,No (Lenguaje natural simple),Positivo (Aprendo más rápido),4,"Redacción, Matemáticas, Presentaciones, Búsqueda (tipo Google)",Permitido con restricciones,Poco (Más lento),Orquestación de IAs
18/01/2026 20:54:16,Estudiante (1°-3°),Desarrollo Web,2,Básico (Prompts/Tokens),Raramente (Mensual),"ChatGPT Gratuito, ChatGPT Plus (GPT-4), Gemini","Debugging (Explicar errores), Refactorización",2,Ejecuto para probar,20% - 50%,Depende del examen,3,"Alucinaciones/Errores, Falta de Contexto, Costo, Privacidad, Desactualización",A veces estructuro,Neutral,3,"Redacción, Matemáticas",Permitido con restricciones,Poco (Más lento),Código Manual (Sintaxis)
18/01/2026 23:32:26,Estudiante (4°-6°),"Data Science / AI, Cloud / DevOps, Backend, Data Engineer",2,Básico (Prompts/Tokens),Frecuentemente (Diario),"ChatGPT Gratuito, GitHub Copilot/Cursor, Gemini","Debugging (Explicar errores), Refactorización, Documentación, Traducción de Lenguaje",2,Analizo lógica antes de usar,> 50% (Doble velocidad),Sí (Es una herramienta),4,"Alucinaciones/Errores, Falta de Contexto, Costo",No (Lenguaje natural simple),Positivo (Aprendo más rápido),3,"Redacción, Matemáticas, Búsqueda (tipo Google)",Permitido con restricciones,Poco (Más lento),Lógica/Arquitectura
22/01/2026 7:24:05,Estudiante (1°-3°),Cosmetologia ,2,Nulo (Solo uso),Siempre (Indispensable),"ChatGPT Gratuito, Gemini",Traducción de Lenguaje,5,Solo uso para inspirarme,< 20%,No (Debe ser conocimiento puro),3,Falta de Contexto,No (Lenguaje natural simple),Neutral,5,"Redacción, Matemáticas, Presentaciones",Fomentado,Poco (Más lento),Orquestación de IAs
22/01/2026 7:26:13,Estudiante (1°-3°),"Móvil, software educativo ",2,Nulo (Solo uso),Ocasionalmente (Semanal),"ChatGPT Gratuito, Gemini","Documentación, Traducción de Lenguaje",3,Ejecuto para probar,20% - 50%,Depende del examen,3,"Falta de Contexto, Desactualización",No (Lenguaje natural simple),Neutral,3,Matemáticas,Permitido con restricciones,Poco (Más lento),Lógica/Arquitectura
22/01/2026 7:29:33,Estudiante (4°-6°),Desarrollo Web,3,Básico (Prompts/Tokens),Frecuentemente (Diario),"ChatGPT Plus (GPT-4), Claude, Gemini","Generar Código (Desde cero), Debugging (Explicar errores), Documentación, Datos de Prueba",5,Ejecuto para probar,20% - 50%,No (Debe ser conocimiento puro),3,"Alucinaciones/Errores, Falta de Contexto, Privacidad, Desactualización",A veces estructuro,Neutral,4,"Redacción, Matemáticas, Búsqueda (tipo Google)",Permitido con restricciones,Mucho (Dificultad en complejos),Código Manual (Sintaxis)
22/01/2026 7:32:57,Estudiante (1°-3°),Móvil,1,Nulo (Solo uso),Ocasionalmente (Semanal),"ChatGPT Gratuito, Gemini",Debugging (Explicar errores),3,Ejecuto para probar,20% - 50%,Depende del examen,3,Desactualización,No (Lenguaje natural simple),Neutral,4,Matemáticas,Permitido con restricciones,Mucho (Dificultad en complejos),Lógica/Arquitectura
22/01/2026 7:34:16,Estudiante (1°-3°),"Desarrollo Web, Ciberseguridad",3,Intermedio (Transformers/Embeddings),Raramente (Mensual),Gemini,"Debugging (Explicar errores), Documentación",2,Analizo lógica antes de usar,20% - 50%,No (Debe ser conocimiento puro),4,"Alucinaciones/Errores, Falta de Contexto, Costo",A veces estructuro,Positivo (Aprendo más rápido),3,"Presentaciones, Búsqueda (tipo Google)",Permitido con restricciones,Poco (Más lento),Código Manual (Sintaxis)
22/01/2026 7:35:46,Estudiante (1°-3°),Desarrollo Web,2,Básico (Prompts/Tokens),Frecuentemente (Diario),"ChatGPT Gratuito, Gemini","Generar Código (Desde cero), Documentación, Traducción de Lenguaje",3,Solo uso para inspirarme,20% - 50%,Depende del examen,3,"Alucinaciones/Errores, Falta de Contexto",No (Lenguaje natural simple),Neutral,2,"Redacción, Matemáticas, Búsqueda (tipo Google)",Permitido con restricciones,Poco (Más lento),Orquestación de IAs
22/01/2026 7:35:47,Estudiante (4°-6°),Cloud / DevOps,4,Básico (Prompts/Tokens),Frecuentemente (Diario),"ChatGPT Gratuito, Gemini",Documentación,4,Solo uso para inspirarme,20% - 50%,No (Debe ser conocimiento puro),3,Costo,Sí (Chain-of-thought/Roles),Negativo (Evito profundizar),5,Búsqueda (tipo Google),Permitido con restricciones,Mucho (Dificultad en complejos),Código Manual (Sintaxis)
22/01/2026 8:00:29,Estudiante (4°-6°),Desarrollo Web,2,Básico (Prompts/Tokens),Ocasionalmente (Semanal),"ChatGPT Gratuito, Gemini","Generar Código (Desde cero), Traducción de Lenguaje",3,Ejecuto para probar,20% - 50%,Depende del examen,3,"Costo, Privacidad, Desactualización",A veces estructuro,Neutral,2,Matemáticas,Permitido con restricciones,Mucho (Dificultad en complejos),Código Manual (Sintaxis)
22/01/2026 8:01:52,Estudiante (1°-3°),Cloud / DevOps,4,Intermedio (Transformers/Embeddings),Ocasionalmente (Semanal),Gemini,Traducción de Lenguaje,3,Ejecuto para probar,< 20%,Depende del examen,4,Costo,A veces estructuro,Neutral,1,Matemáticas,Permitido con restricciones,Poco (Más lento),Código Manual (Sintaxis)
22/01/2026 8:02:58,Estudiante (1°-3°),Data Science / AI,4,Básico (Prompts/Tokens),Raramente (Mensual),ChatGPT Gratuito,Datos de Prueba,2,Ejecuto para probar,< 20%,Depende del examen,2,Privacidad,A veces estructuro,Positivo (Aprendo más rápido),3,Búsqueda (tipo Google),Permitido con restricciones,Poco (Más lento),Soft Skills
22/01/2026 8:08:12,Estudiante (4°-6°),Educación ,1,Básico (Prompts/Tokens),Raramente (Mensual),"ChatGPT Gratuito, Gemini","Documentación, Traducción de Lenguaje",2,Analizo lógica antes de usar,< 20%,No (Debe ser conocimiento puro),3,Falta de Contexto,No (Lenguaje natural simple),Positivo (Aprendo más rápido),1,Redacción,Permitido con restricciones,Poco (Más lento),Código Manual (Sintaxis)
22/01/2026 8:14:37,Estudiante (4°-6°),Gestión TI,4,Intermedio (Transformers/Embeddings),Frecuentemente (Diario),Gemini,Generar Código (Desde cero),3,Analizo lógica antes de usar,20% - 50%,No (Debe ser conocimiento puro),4,Privacidad,A veces estructuro,Positivo (Aprendo más rápido),4,Búsqueda (tipo Google),Permitido con restricciones,Mucho (Dificultad en complejos),Lógica/Arquitectura
22/01/2026 8:17:25,Egresado/Junior,Móvil,5,Avanzado (Fine-tuning/Entrenamiento),Siempre (Indispensable),"ChatGPT Plus (GPT-4), Claude","Generar Código (Desde cero), Refactorización, Datos de Prueba, Traducción de Lenguaje",4,Analizo lógica antes de usar,> 50% (Doble velocidad),No (Debe ser conocimiento puro),4,Privacidad,Sí (Chain-of-thought/Roles),Positivo (Aprendo más rápido),2,Solo Código,Fomentado,Mucho (Dificultad en complejos),Soft Skills
22/01/2026 8:20:03,Estudiante (7°-9°),Data Science / AI,2,Intermedio (Transformers/Embeddings),Ocasionalmente (Semanal),ChatGPT Plus (GPT-4),Refactorización,3,Ejecuto para probar,> 50% (Doble velocidad),Sí (Es una herramienta),2,Falta de Contexto,No (Lenguaje natural simple),Negativo (Evito profundizar),3,Matemáticas,Zona Gris (Sin reglas),Crítico (No puedo trabajar),Código Manual (Sintaxis)
22/01/2026 8:29:34,Estudiante (1°-3°),"Desarrollo Web, Data Science / AI, Ciberseguridad",3,Básico (Prompts/Tokens),Ocasionalmente (Semanal),Gemini,"Generar Código (Desde cero), Refactorización",1,Analizo lógica antes de usar,20% - 50%,Depende del examen,3,"Falta de Contexto, Costo",A veces estructuro,Neutral,3,Presentaciones,Permitido con restricciones,Poco (Más lento),Orquestación de IAs
22/01/2026 8:39:38,Estudiante (4°-6°),Ciberseguridad,3,Intermedio (Transformers/Embeddings),Ocasionalmente (Semanal),"ChatGPT Plus (GPT-4), Gemini",Documentación,3,Analizo lógica antes de usar,20% - 50%,Depende del examen,3,Costo,A veces estructuro,Positivo (Aprendo más rápido),1,Búsqueda (tipo Google),Permitido con restricciones,Mucho (Dificultad en complejos),Orquestación de IAs
22/01/2026 9:24:04,Senior/Posgrado,Construcción ,1,Nulo (Solo uso),Raramente (Mensual),"ChatGPT Gratuito, GitHub Copilot/Cursor, Gemini",Documentación,3,Ejecuto para probar,20% - 50%,Depende del examen,3,Costo,No (Lenguaje natural simple),Positivo (Aprendo más rápido),3,"Redacción, Presentaciones, Búsqueda (tipo Google)",Permitido con restricciones,Nada,Soft Skills
22/01/2026 10:07:00,Estudiante (1°-3°),"Desarrollo Web, Cloud / DevOps, Gestión TI",2,Básico (Prompts/Tokens),Ocasionalmente (Semanal),"GitHub Copilot/Cursor, Gemini","Debugging (Explicar errores), Documentación, Traducción de Lenguaje",4,Analizo lógica antes de usar,20% - 50%,Sí (Es una herramienta),2,Falta de Contexto,A veces estructuro,Neutral,3,Matemáticas,Permitido con restricciones,Poco (Más lento),Lógica/Arquitectura
22/01/2026 10:36:30,Estudiante (1°-3°),Gestión TI,1,Nulo (Solo uso),Ocasionalmente (Semanal),"ChatGPT Gratuito, Gemini","Generar Código (Desde cero), Debugging (Explicar errores), Refactorización, Documentación",3,Analizo lógica antes de usar,20% - 50%,No (Debe ser conocimiento puro),3,Alucinaciones/Errores,No (Lenguaje natural simple),Neutral,4,Matemáticas,Permitido con restricciones,Poco (Más lento),Lógica/Arquitectura
22/01/2026 10:56:50,Estudiante (1°-3°),Data Science / AI,3,Nulo (Solo uso),Raramente (Mensual),"ChatGPT Gratuito, GitHub Copilot/Cursor, Claude, Gemini",Generar Código (Desde cero),3,Copio y pego directo,> 50% (Doble velocidad),Sí (Es una herramienta),4,"Costo, Desactualización",A veces estructuro,Positivo (Aprendo más rápido),2,"Redacción, Matemáticas, Presentaciones, Búsqueda (tipo Google)",Permitido con restricciones,Poco (Más lento),Lógica/Arquitectura
22/01/2026 12:01:26,Estudiante (4°-6°),Gastronomía ,2,Nulo (Solo uso),Ocasionalmente (Semanal),ChatGPT Plus (GPT-4),Documentación,2,Analizo lógica antes de usar,20% - 50%,Depende del examen,3,Desactualización,No (Lenguaje natural simple),Neutral,3,Búsqueda (tipo Google),Permitido con restricciones,Poco (Más lento),Código Manual (Sintaxis)
22/01/2026 12:55:53,Estudiante (4°-6°),"Desarrollo Web, Data Science / AI",3,Básico (Prompts/Tokens),Ocasionalmente (Semanal),"GitHub Copilot/Cursor, Gemini","Refactorización, Documentación",3,Analizo lógica antes de usar,> 50% (Doble velocidad),Sí (Es una herramienta),3,"Alucinaciones/Errores, Privacidad",A veces estructuro,Negativo (Evito profundizar),2,"Matemáticas, Búsqueda (tipo Google)",Zona Gris (Sin reglas),Poco (Más lento),Lógica/Arquitectura
22/01/2026 13:36:30,Estudiante (1°-3°),Desarrollo Web,2,Básico (Prompts/Tokens),Ocasionalmente (Semanal),"ChatGPT Gratuito, GitHub Copilot/Cursor, Gemini","Datos de Prueba, Traducción de Lenguaje",1,Analizo lógica antes de usar,< 20%,No (Debe ser conocimiento puro),2,Alucinaciones/Errores,No (Lenguaje natural simple),Neutral,2,"Matemáticas, Búsqueda (tipo Google)",Fomentado,Poco (Más lento),Soft Skills
22/01/2026 13:44:13,Estudiante (1°-3°),Ciberseguridad,2,Básico (Prompts/Tokens),Nunca,ChatGPT Gratuito,Documentación,1,Solo uso para inspirarme,Nada / Pérdida de tiempo,No (Debe ser conocimiento puro),1,Alucinaciones/Errores,A veces estructuro,Neutral,1,Presentaciones,Zona Gris (Sin reglas),Nada,Lógica/Arquitectura
22/01/2026 14:11:12,Senior/Posgrado,Data Science / AI,2,Básico (Prompts/Tokens),Ocasionalmente (Semanal),GitHub Copilot/Cursor,Debugging (Explicar errores),3,Analizo lógica antes de usar,20% - 50%,Sí (Es una herramienta),3,Falta de Contexto,A veces estructuro,Neutral,3,Presentaciones,Zona Gris (Sin reglas),Mucho (Dificultad en complejos),Lógica/Arquitectura
22/01/2026 19:10:57,Estudiante (1°-3°),"Desarrollo Web, Ciberseguridad, Gestión TI",3,Intermedio (Transformers/Embeddings),Ocasionalmente (Semanal),ChatGPT Plus (GPT-4),Debugging (Explicar errores),4,Analizo lógica antes de usar,< 20%,Depende del examen,4,Falta de Contexto,No (Lenguaje natural simple),Neutral,3,Matemáticas,Permitido con restricciones,Mucho (Dificultad en complejos),Orquestación de IAs
26/01/2026 10:16:49,Estudiante (1°-3°),"Desarrollo Web, ",1,Nulo (Solo uso),Nunca,ChatGPT Gratuito,Debugging (Explicar errores),1,Ejecuto para probar,Nada / Pérdida de tiempo,Depende del examen,1,Alucinaciones/Errores,No (Lenguaje natural simple),Neutral,1,Redacción,Permitido con restricciones,Poco (Más lento),Código Manual (Sintaxis)
26/01/2026 10:22:39,Estudiante (1°-3°),Data Science / AI,1,Nulo (Solo uso),Siempre (Indispensable),Gemini,"Generar Código (Desde cero), Debugging (Explicar errores), Refactorización, Documentación",5,Ejecuto para probar,> 50% (Doble velocidad),Sí (Es una herramienta),4,"Alucinaciones/Errores, Falta de Contexto",A veces estructuro,Positivo (Aprendo más rápido),5,"Redacción, Matemáticas, Presentaciones, Búsqueda (tipo Google)",Fomentado,Mucho (Dificultad en complejos),Lógica/Arquitectura
26/01/2026 10:43:10,Estudiante (1°-3°),Desarrollo Web,2,Intermedio (Transformers/Embeddings),Frecuentemente (Diario),ChatGPT Plus (GPT-4),Traducción de Lenguaje,3,Solo uso para inspirarme,20% - 50%,Sí (Es una herramienta),2,Alucinaciones/Errores,Sí (Chain-of-thought/Roles),Positivo (Aprendo más rápido),4,Redacción,Zona Gris (Sin reglas),Mucho (Dificultad en complejos),Soft Skills
26/01/2026 10:44:19,Estudiante (1°-3°),Ciberseguridad,1,Nulo (Solo uso),Ocasionalmente (Semanal),ChatGPT Gratuito,Documentación,2,Ejecuto para probar,< 20%,No (Debe ser conocimiento puro),5,Costo,A veces estructuro,Neutral,4,Búsqueda (tipo Google),Prohibido,Poco (Más lento),Código Manual (Sintaxis)
26/01/2026 10:53:19,Estudiante (1°-3°),"Desarrollo Web, Data Science / AI, Móvil",4,Intermedio (Transformers/Embeddings),Raramente (Mensual),ChatGPT Gratuito,Debugging (Explicar errores),5,Analizo lógica antes de usar,< 20%,No (Debe ser conocimiento puro),5,Privacidad,No (Lenguaje natural simple),Positivo (Aprendo más rápido),1,Matemáticas,Prohibido,Nada,Lógica/Arquitectura
26/01/2026 11:00:49,Estudiante (4°-6°),"Cloud / DevOps, ",2,Nulo (Solo uso),Ocasionalmente (Semanal),ChatGPT Gratuito,Datos de Prueba,1,Copio y pego directo,< 20%,No (Debe ser conocimiento puro),1,Alucinaciones/Errores,No (Lenguaje natural simple),Neutral,2,Redacción,Zona Gris (Sin reglas),Poco (Más lento),Lógica/Arquitectura
26/01/2026 13:24:11,Estudiante (1°-3°),"Desarrollo Web, ",1,Nulo (Solo uso),Raramente (Mensual),Gemini,Documentación,1,Ejecuto para probar,< 20%,Depende del examen,3,Falta de Contexto,A veces estructuro,Positivo (Aprendo más rápido),2,"Matemáticas, Búsqueda (tipo Google)",Permitido con restricciones,Nada,Código Manual (Sintaxis)
26/01/2026 13:33:58,Estudiante (1°-3°),Odontología ,3,Básico (Prompts/Tokens),Nunca,"ChatGPT Gratuito, Gemini",Documentación,1,Solo uso para inspirarme,20% - 50%,Depende del examen,3,"Alucinaciones/Errores, Privacidad",No (Lenguaje natural simple),Neutral,2,Búsqueda (tipo Google),Permitido con restricciones,Nada,Orquestación de IAs
26/01/2026 14:05:54,Estudiante (1°-3°),Móvil,4,Nulo (Solo uso),Raramente (Mensual),ChatGPT Plus (GPT-4),Datos de Prueba,1,Analizo lógica antes de usar,< 20%,Depende del examen,2,Desactualización,No (Lenguaje natural simple),Neutral,1,Matemáticas,Permitido con restricciones,Nada,Lógica/Arquitectura
26/01/2026 14:06:39,Estudiante (1°-3°),Móvil,3,Básico (Prompts/Tokens),Siempre (Indispensable),"ChatGPT Gratuito, Gemini",Refactorización,4,Analizo lógica antes de usar,20% - 50%,Depende del examen,4,Desactualización,A veces estructuro,Positivo (Aprendo más rápido),3,Matemáticas,Zona Gris (Sin reglas),Poco (Más lento),Lógica/Arquitectura
26/01/2026 14:09:38,Estudiante (1°-3°),Móvil,3,Nulo (Solo uso),Nunca,ChatGPT Gratuito,Traducción de Lenguaje,1,Copio y pego directo,< 20%,No (Debe ser conocimiento puro),5,Alucinaciones/Errores,No (Lenguaje natural simple),Neutral,1,"Redacción, Solo Código",Prohibido,Nada,Código Manual (Sintaxis)
26/01/2026 14:13:49,Estudiante (1°-3°),"Data Science / AI, Ciberseguridad, Móvil",3,Nulo (Solo uso),Raramente (Mensual),"ChatGPT Gratuito, Gemini",Traducción de Lenguaje,3,Copio y pego directo,< 20%,Depende del examen,3,"Alucinaciones/Errores, Falta de Contexto",No (Lenguaje natural simple),Positivo (Aprendo más rápido),2,"Matemáticas, Presentaciones",Permitido con restricciones,Poco (Más lento),Lógica/Arquitectura
26/01/2026 14:45:23,Estudiante (1°-3°),Desarrollo Web,2,Básico (Prompts/Tokens),Raramente (Mensual),"ChatGPT Gratuito, ChatGPT Plus (GPT-4)","Refactorización, Documentación",2,Solo uso para inspirarme,20% - 50%,Depende del examen,2,Privacidad,Sí (Chain-of-thought/Roles),Positivo (Aprendo más rápido),2,"Búsqueda (tipo Google), Solo Código",Zona Gris (Sin reglas),Poco (Más lento),Lógica/Arquitectura
26/01/2026 15:00:31,Estudiante (1°-3°),Desarrollo Web,1,Básico (Prompts/Tokens),Raramente (Mensual),ChatGPT Gratuito,Debugging (Explicar errores),2,Analizo lógica antes de usar,< 20%,Depende del examen,2,Falta de Contexto,A veces estructuro,Neutral,2,Matemáticas,Permitido con restricciones,Poco (Más lento),Lógica/Arquitectura
26/01/2026 16:25:06,Estudiante (1°-3°),Desarrollo Web,3,Básico (Prompts/Tokens),Frecuentemente (Diario),"ChatGPT Gratuito, Gemini","Generar Código (Desde cero), Debugging (Explicar errores), Refactorización, Documentación",3,Analizo lógica antes de usar,> 50% (Doble velocidad),Depende del examen,3,"Falta de Contexto, Costo, Desactualización",A veces estructuro,Neutral,3,"Redacción, Matemáticas, Presentaciones, Búsqueda (tipo Google)",Permitido con restricciones,Poco (Más lento),Lógica/Arquitectura